1,Name,IATA,Latitude,Longitude
1,Goroka Airport,GKA,-6.081689834590001,145.391998291
1,Madang Airport,MAG,-5.20707988739,145.789001465
1,Mount Hagen Kagamuga Airport,HGU,-5.826789855957031,144.29600524902344
1,Nadzab Airport,LAE,-6.569803,146.725977
1,Port Moresby Jacksons International Airport,POM,-9.44338035583496,147.22000122070312
1,Wewak International Airport,WWK,-3.58383011818,143.669006348
1,Narsarsuaq Airport,UAK,61.1604995728,-45.4259986877
1,Godthaab / Nuuk Airport,GOH,64.19090271,-51.6781005859
1,Kangerlussuaq Airport,SFJ,67.0122218992,-50.7116031647
1,Thule Air Base,THU,76.5311965942,-68.7032012939
1,Akureyri Airport,AEY,65.66000366210938,-18.07270050048828
1,Egilsstaðir Airport,EGS,65.2833023071289,-14.401399612426758
1,Hornafjörður Airport,HFN,64.295601,-15.2272
1,Húsavík Airport,HZK,65.952301,-17.426001
1,Ísafjörður Airport,IFJ,66.05809783935547,-23.135299682617188
1,Keflavik International Airport,KEF,63.985000610352,-22.605600357056
1,Patreksfjörður Airport,PFJ,65.555801,-23.965
1,Reykjavik Airport,RKV,64.1299972534,-21.9405994415
1,Siglufjörður Airport,SIJ,66.133301,-18.9167
1,Vestmannaeyjar Airport,VEY,63.42430114746094,-20.27890014648437
1,Sault Ste Marie Airport,YAM,46.48500061035156,-84.5093994140625
1,St. Anthony Airport,YAY,51.3918991089,-56.083099365200006
1,Tofino / Long Beach Airport,YAZ,49.079833,-125.775583
1,Kugaaruk Airport,YBB,68.534401,-89.808098
1,Baie Comeau Airport,YBC,49.13249969482422,-68.20439910888672
1,CFB Bagotville,YBG,48.33060073852539,-70.99639892578125
1,Baker Lake Airport,YBK,64.29889678960001,-96.077796936
1,Campbell River Airport,YBL,49.950801849365234,-125.27100372314452
1,Brandon Municipal Airport,YBR,49.91,-99.951897
1,Cambridge Bay Airport,YCB,69.1081008911,-105.138000488
1,Nanaimo Airport,YCD,49.0549702249,-123.869862556
1,Castlegar/West Kootenay Regional Airport,YCG,49.2963981628,-117.632003784
1,Miramichi Airport,YCH,47.007801,-65.449203
1,Charlo Airport,YCL,47.990799,-66.330299
1,Kugluktuk Airport,YCO,67.816704,-115.143997
1,Coronation Airport,YCT,52.0750007629,-111.444999695
1,Chilliwack Airport,YCW,49.1528015137,-121.939002991
1,Clyde River Airport,YCY,70.4860992432,-68.5167007446
1,Coral Harbour Airport,YZS,64.1932983398,-83.3593978882
1,Dawson City Airport,YDA,64.04309844970703,-139.1280059814453
1,Burwash Airport,YDB,61.37110137939453,-139.04100036621094
1,Deer Lake Airport,YDF,49.21080017089844,-57.39139938354492
1,Dease Lake Airport,YDL,58.4221992493,-130.031997681
1,Dauphin Barker Airport,YDN,51.10079956054688,-100.052001953125
1,Dawson Creek Airport,YDQ,55.7422981262207,-120.18299865722656
1,Edmonton International Airport,YEG,53.3097000122,-113.580001831
1,Arviat Airport,YEK,61.0942001343,-94.0708007812
1,Estevan Airport,YEN,49.2103004456,-102.966003418
1,Edson Airport,YET,53.5788993835,-116.464996338
1,Eureka Airport,YEU,79.9946975708,-85.814201355
1,Inuvik Mike Zubko Airport,YEV,68.30419921880001,-133.483001709
1,Iqaluit Airport,YFB,63.756402,-68.555801
1,Fredericton Airport,YFC,45.868900299072266,-66.53720092773438
1,Forestville Airport,YFE,48.74610137939453,-69.09719848632812
1,Flin Flon Airport,YFO,54.6781005859375,-101.68199920654295
1,Fort Resolution Airport,YFR,61.1808013916,-113.690002441
1,Fort Simpson Airport,YFS,61.76020050048828,-121.23699951171876
1,Kingston Norman Rogers Airport,YGK,44.22529983520508,-76.5969009399414
1,La Grande Rivière Airport,YGL,53.625301361083984,-77.7042007446289
1,Gaspé (Michel-Pouliot) Airport,YGP,48.7752990723,-64.4785995483
1,Geraldton Greenstone Regional Airport,YGQ,49.77830123901367,-86.93939971923828
1,Îles-de-la-Madeleine Airport,YGR,47.42470169067383,-61.778099060058594
1,Hudson Bay Airport,YHB,52.8166999817,-102.310997009
1,Dryden Regional Airport,YHD,49.831699,-92.744202
1,Ulukhaktok Holman Airport,YHI,70.76280212402344,-117.80599975585938
1,Gjoa Haven Airport,YHK,68.635597229,-95.8497009277
1,John C. Munro Hamilton International Airport,YHM,43.1735992432,-79.93499755859999
1,Montréal / Saint-Hubert Airport,YHU,45.5175018311,-73.4169006348
1,Hay River / Merlyn Carter Airport,YHY,60.8396987915,-115.782997131
1,Halifax / Stanfield International Airport,YHZ,44.8807983398,-63.5085983276
