1,Source Airport,Destination Airport
1,TPA,PNS
1,TPA,TLH
1,TRC,IAH
1,TRN,BRU
1,TSE,ALA
1,TSE,FRA
1,TUL,DEN
1,TUL,EWR
1,TUL,IAD
1,TUL,IAH
1,TUL,ORD
1,TUS,DEN
1,TUS,IAH
1,TUS,LAX
1,TUS,SFO
1,TVC,ORD
1,TYR,IAH
1,TYS,DEN
1,TYS,EWR
1,TYS,IAD
1,TYS,IAH
1,TYS,ORD
1,VER,IAH
1,VIE,DME
1,VIE,EVN
1,VIE,IAD
1,VIE,JFK
1,VIE,LED
1,VIE,ORD
1,VPS,IAH
1,VSA,IAH
1,WRL,CYS
1,XNA,DEN
1,XNA,EWR
1,XNA,IAH
1,XNA,ORD
1,YEG,ORD
1,YEG,SFO
1,YHZ,BOS
1,YHZ,EWR
1,YHZ,ORD
1,YLW,LAX
1,YMM,DEN
1,YOW,BOS
1,YOW,EWR
1,YOW,IAD
1,YOW,LGA
1,YOW,ORD
1,YQB,EWR
1,YQB,ORD
1,YQM,EWR
1,YQR,DEN
1,YQR,ORD
1,YUL,BDL
1,YUL,BOS
1,YUL,DEN
1,YUL,EWR
1,YUL,GVA
1,YUL,IAD
1,YUL,IAH
1,YUL,LAX
1,YUL,LGA
1,YUL,ORD
1,YUL,SFO
1,YUL,YYZ
1,YUM,LAX
1,YVR,EWR
1,YVR,LAX
1,YVR,PDX
1,YVR,SEA
1,YWG,DEN
1,YWG,ORD
1,YXE,DEN
1,YXE,ORD
1,YXU,ORD
1,YYC,PDX
1,YYC,SFO
1,YYJ,SFO
1,YYZ,ATL
1,YYZ,BDL
1,YYZ,BOS
1,YYZ,CLE
1,YYZ,CMH
1,YYZ,DEN
1,YYZ,DFW
1,YYZ,DTW
1,YYZ,EWR
1,YYZ,IAD
1,YYZ,IAH
1,YYZ,LAX
1,YYZ,LGA
1,YYZ,MSP
1,YYZ,MSY
1,YYZ,PHL
1,YYZ,PIT
1,YYZ,SFO
1,YYZ,STL
1,YYZ,YUL
1,ZIH,IAH
1,ZLO,IAH
1,ZRH,BOS
1,ZRH,JFK
1,ZRH,LAX
1,ZRH,MIA
1,ZRH,NBO
1,ZRH,ORD
1,ZRH,SFO
1,BAH,CMB
1,CGK,CMB
1,CMB,BAH
1,CMB,CGK
1,CMB,DAC
1,CMB,IXM
1,CMB,SEZ
1,DAC,CMB
1,IXM,CMB
1,SEZ,CMB
1,BOS,LHR
1,DME,IAH
1,DME,MSQ
1,DME,SIN
1,DME,VIE
1,IAH,DME
1,LAX,LHR
1,LED,MSQ
1,LGW,MCO
1,LHR,BOS
1,LHR,LAX
1,LHR,SFO
1,MCO,LGW
1,MSQ,DME
1,MSQ,LED
1,SFO,LHR
1,SIN,DME
1,VIE,DME
1,ABE,CLT
1,ABE,PHL
1,ABQ,LAX
1,ABQ,PHX
1,ADL,AKL
1,AEX,DFW
1,AGS,CLT
1,AGS,DCA
1,AGU,DFW
1,ALB,PHL
1,AMS,LIS
1,APW,AKL
1,ART,PHL
1,ATL,DFW
1,ATL,MIA
1,ATL,ORD
1,AUS,CLT
1,AVP,PHL
1,AZO,ORD
1,BDL,PIT
1,BFL,PHX
1,BGM,PHL
1,BGR,DCA
1,BGR,PHL
1,BIO,LIS
1,BMI,DFW
1,BMI,ORD
1,BNA,JFK
1,BNE,AKL
1,BOS,BUF
1,BOS,MDT
1,BOS,PIT
1,BOS,RIC
1,BOS,ROC
1,BOS,SYR
1,BRO,DFW
1,BRU,ATH
1,BRU,LIS
1,BUF,BOS
1,BUF,DCA
1,BUF,PHL
1,BUR,PHX
1,BWI,JFK
1,BWI,ORD
1,CAE,CLT
1,CAE,PHL
1,CAK,DCA
1,CDG,ATH
1,CHA,CLT
1,CHA,DCA
1,CHA,ORD
1,CHO,LGA
1,CHO,PHL
1,CHS,DCA
1,CHS,DFW
1,CHS,PHL
1,CID,DFW
1,CID,ORD
1,CLE,JFK
1,CLE,PHL
1,CLT,ABE
1,CLT,AUS
1,CLT,AVL
1,CLT,CAE
1,CLT,CMH
1,CLT,DSM
1,CLT,EWN
1,CLT,FLO
1,CLT,FPO
1,CLT,HHH
1,CLT,HTS
1,CLT,IAD
1,CLT,MGM
1,CLT,MHT
1,CLT,OMA
1,CLT,PNS
1,CLT,SBY
1,CLT,SRQ
1,CLT,YOW
1,CLT,YUL
1,CLT,YYZ
1,CMH,CLT
1,CMH,MIA
1,CMH,PHL
1,CMI,DFW
1,CNS,AKL
1,COU,ORD
1,CUU,DFW
1,CVG,PHL
1,DBQ,ORD
1,DCA,AGS
1,DCA,BGR
1,DCA,BUF
1,DCA,CAE
1,DCA,CHA
1,DCA,CHS
1,DCA,CMH
1,DCA,CRW
1,DCA,DSM
1,DCA,DTW
1,DCA,FAY
1,DCA,GSO
1,DCA,HHH
1,DCA,HSV
1,DCA,ILM
1,DCA,ISP
1,DCA,JAX
1,DCA,LIT
1,DCA,MCI
1,DCA,MHT
1,DCA,MSP
1,DCA,MSY
1,DCA,MYR
1,DCA,OMA
1,DCA,PBI
1,DCA,PIT
1,DCA,PVD
1,DCA,PWM
1,DCA,ROC
1,DCA,RSW
1,DCA,SRQ
1,DCA,STL
1,DCA,SYR
1,DCA,TLH
1,DCA,YHZ
1,DCA,YUL
1,DCA,YYZ
1,DFW,ATL
1,DFW,BMI
1,DFW,BRO
1,DFW,CHS
1,DFW,CID
1,DFW,CMI
1,DFW,CRW
1,DFW,CUU
1,DFW,EVV
1,DFW,FAR
1,DFW,FSD
1,DFW,FWA
1,DFW,GRR
1,DFW,LAX
1,DFW,LRD
1,DFW,MLI
1,DFW,MSY
1,DFW,MZT
1,DFW,PIA
1,DFW,QRO
1,DFW,RAP
1,DFW,SGF
1,DFW,SHV
1,DFW,TLH
1,DFW,ZCL
1,DRO,PHX
1,DSM,CLT
1,DSM,DCA
1,DTW,DCA
1,ELM,PHL
1,ELP,LAX
1,ELP,ORD
1,ELP,PHX
1,ERI,PHL
1,EUG,LAX
1,EVV,DFW
1,EVV,ORD
1,EWN,CLT
1,EWR,LIS
1,EWR,OPO
1,EWR,PHL
1,FAO,LIS
1,FAR,DFW
1,FAR,ORD
1,FAT,LAX
1,FAT,PHX
1,FAY,DCA
1,FCO,ATH
1,FCO,LIS
1,FLG,PHX
1,FLO,CLT
1,FNC,LIS
1,FNT,ORD
1,FPO,CLT
1,FRA,IST
1,FRA,LIS
1,FRA,SKG
1,FSD,DFW
1,FWA,DFW
1,FWA,ORD
1,GCK,DFW
1,GDL,PHX
1,GJT,DFW
1,GJT,PHX
1,GRB,ORD
1,GRR,DFW
1,GRR,ORD
1,GSO,DCA
1,GSO,PHL
1,GSP,PHL
1,GVA,LIS
1,HHH,CLT
1,HHH,DCA
1,HMO,PHX
1,HNL,AKL
1,HNL,ITO
1,HNL,KOA
1,HNL,LIH
1,HNL,OGG
1,HPN,ORD
1,HPN,PHL
1,HSV,ORD
1,HTS,CLT
1,HVN,PHL
1,IAD,IST
1,ICT,ORD
1,ILM,DCA
1,ILM,LGA
1,ILM,PHL
1,IND,ORD
1,IPT,PHL
1,ISP,DCA
1,ISP,PHL
1,IST,FRA
1,IST,IAD
1,IST,JFK
1,IST,LAX
1,IST,MUC
