Name,IATA,Latitude,Longitude
Goroka Airport,GKA,-6.081689834590001,145.391998291
Madang Airport,MAG,-5.20707988739,145.789001465
Mount Hagen Kagamuga Airport,HGU,-5.826789855957031,144.29600524902344
Nadzab Airport,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,POM,-9.44338035583496,147.22000122070312
Wewak International Airport,WWK,-3.58383011818,143.669006348
Narsarsuaq Airport,UAK,61.1604995728,-45.4259986877
Godthaab / Nuuk Airport,GOH,64.19090271,-51.6781005859
Kangerlussuaq Airport,SFJ,67.0122218992,-50.7116031647
Thule Air Base,THU,76.5311965942,-68.7032012939
Akureyri Airport,AEY,65.66000366210938,-18.07270050048828
Egilsstaðir Airport,EGS,65.2833023071289,-14.401399612426758
Hornafjörður Airport,HFN,64.295601,-15.2272
Húsavík Airport,HZK,65.952301,-17.426001
Ísafjörður Airport,IFJ,66.05809783935547,-23.135299682617188
Keflavik International Airport,KEF,63.985000610352,-22.605600357056
Patreksfjörður Airport,PFJ,65.555801,-23.965
Reykjavik Airport,RKV,64.1299972534,-21.9405994415
Siglufjörður Airport,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,VEY,63.42430114746094,-20.27890014648437
Sault Ste Marie Airport,YAM,46.48500061035156,-84.5093994140625
St. Anthony Airport,YAY,51.3918991089,-56.083099365200006
Tofino / Long Beach Airport,YAZ,49.079833,-125.775583
Kugaaruk Airport,YBB,68.534401,-89.808098
Baie Comeau Airport,YBC,49.13249969482422,-68.20439910888672
CFB Bagotville,YBG,48.33060073852539,-70.99639892578125
Baker Lake Airport,YBK,64.29889678960001,-96.077796936
Campbell River Airport,YBL,49.950801849365234,-125.27100372314452
Brandon Municipal Airport,YBR,49.91,-99.951897
Cambridge Bay Airport,YCB,69.1081008911,-105.138000488
Nanaimo Airport,YCD,49.0549702249,-123.869862556
Castlegar/West Kootenay Regional Airport,YCG,49.2963981628,-117.632003784
Miramichi Airport,YCH,47.007801,-65.449203
Charlo Airport,YCL,47.990799,-66.330299
Kugluktuk Airport,YCO,67.816704,-115.143997
Coronation Airport,YCT,52.0750007629,-111.444999695
Chilliwack Airport,YCW,49.1528015137,-121.939002991
Clyde River Airport,YCY,70.4860992432,-68.5167007446
Coral Harbour Airport,YZS,64.1932983398,-83.3593978882
Dawson City Airport,YDA,64.04309844970703,-139.1280059814453
Burwash Airport,YDB,61.37110137939453,-139.04100036621094
Deer Lake Airport,YDF,49.21080017089844,-57.39139938354492
Dease Lake Airport,YDL,58.4221992493,-130.031997681
Dauphin Barker Airport,YDN,51.10079956054688,-100.052001953125
Dawson Creek Airport,YDQ,55.7422981262207,-120.18299865722656
Edmonton International Airport,YEG,53.3097000122,-113.580001831
Arviat Airport,YEK,61.0942001343,-94.0708007812
Estevan Airport,YEN,49.2103004456,-102.966003418
Edson Airport,YET,53.5788993835,-116.464996338
Eureka Airport,YEU,79.9946975708,-85.814201355
Inuvik Mike Zubko Airport,YEV,68.30419921880001,-133.483001709
Iqaluit Airport,YFB,63.756402,-68.555801
Fredericton Airport,YFC,45.868900299072266,-66.53720092773438
Forestville Airport,YFE,48.74610137939453,-69.09719848632812
Flin Flon Airport,YFO,54.6781005859375,-101.68199920654295
Fort Resolution Airport,YFR,61.1808013916,-113.690002441
Fort Simpson Airport,YFS,61.76020050048828,-121.23699951171876
Kingston Norman Rogers Airport,YGK,44.22529983520508,-76.5969009399414
La Grande Rivière Airport,YGL,53.625301361083984,-77.7042007446289
Gaspé (Michel-Pouliot) Airport,YGP,48.7752990723,-64.4785995483
Geraldton Greenstone Regional Airport,YGQ,49.77830123901367,-86.93939971923828
Îles-de-la-Madeleine Airport,YGR,47.42470169067383,-61.778099060058594
Hudson Bay Airport,YHB,52.8166999817,-102.310997009
Dryden Regional Airport,YHD,49.831699,-92.744202
Ulukhaktok Holman Airport,YHI,70.76280212402344,-117.80599975585938
Gjoa Haven Airport,YHK,68.635597229,-95.8497009277
John C. Munro Hamilton International Airport,YHM,43.1735992432,-79.93499755859999
Montréal / Saint-Hubert Airport,YHU,45.5175018311,-73.4169006348
Hay River / Merlyn Carter Airport,YHY,60.8396987915,-115.782997131
Halifax / Stanfield International Airport,YHZ,44.8807983398,-63.5085983276
Atikokan Municipal Airport,YIB,48.7738990784,-91.6386032104
Pond Inlet Airport,YIO,72.6832962036,-77.9666976929
St Jean Airport,YJN,45.29439926147461,-73.28109741210938
Stephenville Airport,YJT,48.5442008972168,-58.54999923706055
Kamloops Airport,YKA,50.7022018433,-120.444000244
Waterloo Airport,YKF,43.4608001709,-80.3786010742
Schefferville Airport,YKL,54.805301666259766,-66.8052978515625
Kindersley Airport,YKY,51.5175018311,-109.180999756
Buttonville Municipal Airport,YKZ,43.86220169067383,-79.37000274658203
Chapleau Airport,YLD,47.81999969482422,-83.3467025756836
Meadow Lake Airport,YLJ,54.125301361083984,-108.52300262451172
Lloydminster Airport,YLL,53.309200286865234,-110.072998046875
Alert Airport,YLT,82.51779937740001,-62.2806015015
Kelowna International Airport,YLW,49.9561004639,-119.377998352
Mayo Airport,YMA,63.61640167236328,-135.8679962158203
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,50.330299377441406,-105.55899810791016
Fort McMurray Airport,YMM,56.653301239,-111.222000122
Moosonee Airport,YMO,51.29109954833984,-80.60780334472656
Maniwaki Airport,YMW,46.2728004456,-75.9906005859
Montreal International (Mirabel) Airport,YMX,45.679501,-74.038696
Natashquan Airport,YNA,50.18999862670898,-61.78919982910156
Ottawa / Gatineau Airport,YND,45.5217018127,-75.5635986328
Matagami Airport,YNM,49.76169967651367,-77.80280303955078
Old Crow Airport,YOC,67.57060241699219,-139.83900451660156
CFB Cold Lake,YOD,54.40499877929688,-110.27899932861328
High Level Airport,YOJ,58.62139892578125,-117.16500091552734
Ottawa Macdonald-Cartier International Airport,YOW,45.3224983215332,-75.66919708251953
Prince Albert Glass Field,YPA,53.2141990662,-105.672996521
Peace River Airport,YPE,56.226898,-117.446999
Southport Airport,YPG,49.903099,-98.273817
Pickle Lake Airport,YPL,51.4463996887207,-90.21420288085938
Port Menier Airport,YPN,49.83639907836914,-64.2885971069336
Peterborough Airport,YPQ,44.22999954223633,-78.36329650878906
Prince Rupert Airport,YPR,54.2860984802,-130.445007324
Fort Chipewyan Airport,YPY,58.7672004699707,-111.11699676513672
Muskoka Airport,YQA,44.974700927734375,-79.30329895019531
Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303
Red Deer Regional Airport,YQF,52.18220138549805,-113.8939971923828
Windsor Airport,YQG,42.27560043334961,-82.95559692382812
Watson Lake Airport,YQH,60.11640167236328,-128.82200622558594
Kenora Airport,YQK,49.78829956054688,-94.36309814453124
Lethbridge County Airport,YQL,49.6302986145,-112.800003052
Greater Moncton International Airport,YQM,46.11220169067383,-64.67859649658203
Comox Airport,YQQ,49.71080017089844,-124.88700103759766
Regina International Airport,YQR,50.43190002441406,-104.66600036621094
Thunder Bay Airport,YQT,48.37189865112305,-89.32389831542969
Grande Prairie Airport,YQU,55.1796989441,-118.885002136
Yorkton Municipal Airport,YQV,51.26470184326172,-102.46199798583984
North Battleford Airport,YQW,52.76919937133789,-108.24400329589844
Gander International Airport,YQX,48.9369010925293,-54.56809997558594
Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798
Quesnel Airport,YQZ,53.026100158691406,-122.51000213623048
Resolute Bay Airport,YRB,74.7169036865,-94.9693984985
Rivière-du-Loup Airport,YRI,47.76440048217773,-69.58470153808594
Roberval Airport,YRJ,48.52000045776367,-72.2656021118164
Rocky Mountain House Airport,YRM,52.4296989441,-114.903999329
Rankin Inlet Airport,YRT,62.8114013672,-92.1157989502
Sudbury Airport,YSB,46.625,-80.79889678955078
Sherbrooke Airport,YSC,45.4385986328125,-71.69139862060547
Saint John Airport,YSJ,45.31610107421875,-65.89029693603516
Fort Smith Airport,YSM,60.020301818847656,-111.96199798583984
Nanisivik Airport,YSR,72.982201,-84.613602
Summerside Airport,YSU,46.44060134887695,-63.83359909057617
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.9938964844,-125.242996216
Cape Dorset Airport,YTE,64.2300033569,-76.5267028809
Thompson Airport,YTH,55.80110168457031,-97.86419677734376
CFB Trenton,YTR,44.118900299072266,-77.5280990600586
Timmins/Victor M. Power,YTS,48.5696983337,-81.376701355
Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,YUB,69.43329620361328,-133.0260009765625
Montreal / Pierre Elliott Trudeau International Airport,YUL,45.4706001282,-73.7407989502
Repulse Bay Airport,YUT,66.5214004517,-86.22470092770001
Hall Beach Airport,YUX,68.77610015869999,-81.2425
Rouyn Noranda Airport,YUY,48.20610046386719,-78.83560180664062
La Ronge Airport,YVC,55.1514015198,-105.262001038
Vermilion Airport,YVG,53.3558006287,-110.823997498
Qikiqtarjuaq Airport,YVM,67.5457992554,-64.03140258789999
Val-d'Or Airport,YVO,48.0532989502,-77.7827987671
Kuujjuaq Airport,YVP,58.096099853515625,-68.4269027709961
Norman Wells Airport,YVQ,65.28160095214844,-126.7979965209961
Vancouver International Airport,YVR,49.193901062,-123.183998108
Buffalo Narrows Airport,YVT,55.8418998718,-108.417999268
Wiarton Airport,YVV,44.7458,-81.107201
Petawawa Airport,YWA,45.95220184326172,-77.31919860839844
Winnipeg / James Armstrong Richardson International Airport,YWG,49.9099998474,-97.2398986816
Wabush Airport,YWK,52.92190170288086,-66.8644027709961
Williams Lake Airport,YWL,52.1831016541,-122.054000854
Wrigley Airport,YWY,63.20940017700195,-123.43699645996094
Cranbrook/Canadian Rockies International Airport,YXC,49.610801696777,-115.78199768066
Edmonton City Centre (Blatchford Field) Airport,YXD,53.5724983215,-113.521003723
