Name,IATA,Latitude,Longitude,distance
Goroka Airport,GKA,-6.081689834590001,145.391998291,Ellipsis
Madang Airport,MAG,-5.20707988739,145.789001465,Ellipsis
Mount Hagen Kagamuga Airport,HGU,-5.826789855957031,144.29600524902344,Ellipsis
Nadzab Airport,LAE,-6.569803,146.725977,Ellipsis
Port Moresby Jacksons International Airport,POM,-9.44338035583496,147.22000122070312,Ellipsis
Wewak International Airport,WWK,-3.58383011818,143.669006348,Ellipsis
Narsarsuaq Airport,UAK,61.1604995728,-45.4259986877,Ellipsis
Godthaab / Nuuk Airport,GOH,64.19090271,-51.6781005859,Ellipsis
Kangerlussuaq Airport,SFJ,67.0122218992,-50.7116031647,Ellipsis
Thule Air Base,THU,76.5311965942,-68.7032012939,Ellipsis
Akureyri Airport,AEY,65.66000366210938,-18.07270050048828,Ellipsis
Egilsstaðir Airport,EGS,65.2833023071289,-14.401399612426758,Ellipsis
Hornafjörður Airport,HFN,64.295601,-15.2272,Ellipsis
Húsavík Airport,HZK,65.952301,-17.426001,Ellipsis
Ísafjörður Airport,IFJ,66.05809783935547,-23.135299682617188,Ellipsis
Keflavik International Airport,KEF,63.985000610352,-22.605600357056,Ellipsis
Patreksfjörður Airport,PFJ,65.555801,-23.965,Ellipsis
Reykjavik Airport,RKV,64.1299972534,-21.9405994415,Ellipsis
Siglufjörður Airport,SIJ,66.133301,-18.9167,Ellipsis
Vestmannaeyjar Airport,VEY,63.42430114746094,-20.27890014648437,Ellipsis
Sault Ste Marie Airport,YAM,46.48500061035156,-84.5093994140625,Ellipsis
St. Anthony Airport,YAY,51.3918991089,-56.083099365200006,Ellipsis
Tofino / Long Beach Airport,YAZ,49.079833,-125.775583,Ellipsis
Kugaaruk Airport,YBB,68.534401,-89.808098,Ellipsis
Baie Comeau Airport,YBC,49.13249969482422,-68.20439910888672,Ellipsis
CFB Bagotville,YBG,48.33060073852539,-70.99639892578125,Ellipsis
Baker Lake Airport,YBK,64.29889678960001,-96.077796936,Ellipsis
Campbell River Airport,YBL,49.950801849365234,-125.27100372314452,Ellipsis
Brandon Municipal Airport,YBR,49.91,-99.951897,Ellipsis
Cambridge Bay Airport,YCB,69.1081008911,-105.138000488,Ellipsis
Nanaimo Airport,YCD,49.0549702249,-123.869862556,Ellipsis
Castlegar/West Kootenay Regional Airport,YCG,49.2963981628,-117.632003784,Ellipsis
Miramichi Airport,YCH,47.007801,-65.449203,Ellipsis
Charlo Airport,YCL,47.990799,-66.330299,Ellipsis
Kugluktuk Airport,YCO,67.816704,-115.143997,Ellipsis
Coronation Airport,YCT,52.0750007629,-111.444999695,Ellipsis
Chilliwack Airport,YCW,49.1528015137,-121.939002991,Ellipsis
Clyde River Airport,YCY,70.4860992432,-68.5167007446,Ellipsis
Coral Harbour Airport,YZS,64.1932983398,-83.3593978882,Ellipsis
Dawson City Airport,YDA,64.04309844970703,-139.1280059814453,Ellipsis
Burwash Airport,YDB,61.37110137939453,-139.04100036621094,Ellipsis
Deer Lake Airport,YDF,49.21080017089844,-57.39139938354492,Ellipsis
Dease Lake Airport,YDL,58.4221992493,-130.031997681,Ellipsis
Dauphin Barker Airport,YDN,51.10079956054688,-100.052001953125,Ellipsis
Dawson Creek Airport,YDQ,55.7422981262207,-120.18299865722656,Ellipsis
Edmonton International Airport,YEG,53.3097000122,-113.580001831,Ellipsis
Arviat Airport,YEK,61.0942001343,-94.0708007812,Ellipsis
Estevan Airport,YEN,49.2103004456,-102.966003418,Ellipsis
Edson Airport,YET,53.5788993835,-116.464996338,Ellipsis
Eureka Airport,YEU,79.9946975708,-85.814201355,Ellipsis
Inuvik Mike Zubko Airport,YEV,68.30419921880001,-133.483001709,Ellipsis
Iqaluit Airport,YFB,63.756402,-68.555801,Ellipsis
Fredericton Airport,YFC,45.868900299072266,-66.53720092773438,Ellipsis
Forestville Airport,YFE,48.74610137939453,-69.09719848632812,Ellipsis
