Source Airport,Destination Airport
TPA,PNS
TPA,TLH
TRC,IAH
TRN,BRU
TSE,ALA
TSE,FRA
TUL,DEN
TUL,EWR
TUL,IAD
TUL,IAH
TUL,ORD
TUS,DEN
TUS,IAH
TUS,LAX
TUS,SFO
TVC,ORD
TYR,IAH
TYS,DEN
TYS,EWR
TYS,IAD
TYS,IAH
TYS,ORD
VER,IAH
VIE,DME
VIE,EVN
VIE,IAD
VIE,JFK
VIE,LED
VIE,ORD
VPS,IAH
VSA,IAH
WRL,CYS
XNA,DEN
XNA,EWR
XNA,IAH
XNA,ORD
YEG,ORD
YEG,SFO
YHZ,BOS
YHZ,EWR
YHZ,ORD
YLW,LAX
YMM,DEN
YOW,BOS
YOW,EWR
YOW,IAD
YOW,LGA
YOW,ORD
YQB,EWR
YQB,ORD
YQM,EWR
YQR,DEN
YQR,ORD
YUL,BDL
YUL,BOS
YUL,DEN
YUL,EWR
YUL,GVA
YUL,IAD
YUL,IAH
YUL,LAX
YUL,LGA
YUL,ORD
YUL,SFO
YUL,YYZ
YUM,LAX
YVR,EWR
YVR,LAX
YVR,PDX
YVR,SEA
YWG,DEN
YWG,ORD
YXE,DEN
YXE,ORD
YXU,ORD
YYC,PDX
YYC,SFO
YYJ,SFO
YYZ,ATL
YYZ,BDL
YYZ,BOS
YYZ,CLE
YYZ,CMH
YYZ,DEN
YYZ,DFW
YYZ,DTW
YYZ,EWR
YYZ,IAD
YYZ,IAH
YYZ,LAX
YYZ,LGA
YYZ,MSP
YYZ,MSY
YYZ,PHL
YYZ,PIT
YYZ,SFO
YYZ,STL
YYZ,YUL
ZIH,IAH
ZLO,IAH
ZRH,BOS
ZRH,JFK
ZRH,LAX
ZRH,MIA
ZRH,NBO
ZRH,ORD
ZRH,SFO
BAH,CMB
CGK,CMB
CMB,BAH
CMB,CGK
CMB,DAC
CMB,IXM
CMB,SEZ
DAC,CMB
IXM,CMB
SEZ,CMB
BOS,LHR
DME,IAH
DME,MSQ
DME,SIN
DME,VIE
IAH,DME
LAX,LHR
LED,MSQ
LGW,MCO
LHR,BOS
LHR,LAX
LHR,SFO
MCO,LGW
MSQ,DME
MSQ,LED
SFO,LHR
SIN,DME
VIE,DME
ABE,CLT
ABE,PHL
ABQ,LAX
ABQ,PHX
ADL,AKL
AEX,DFW
AGS,CLT
AGS,DCA
AGU,DFW
ALB,PHL
AMS,LIS
APW,AKL
ART,PHL
ATL,DFW
ATL,MIA
ATL,ORD
AUS,CLT
AVP,PHL
AZO,ORD
BDL,PIT
BFL,PHX
BGM,PHL
BGR,DCA
BGR,PHL
BIO,LIS
BMI,DFW
BMI,ORD
BNA,JFK
BNE,AKL
BOS,BUF
BOS,MDT
BOS,PIT
BOS,RIC
BOS,ROC
BOS,SYR
BRO,DFW
BRU,ATH
BRU,LIS
BUF,BOS
BUF,DCA
BUF,PHL
BUR,PHX
BWI,JFK
BWI,ORD
CAE,CLT
CAE,PHL
CAK,DCA
CDG,ATH
CHA,CLT
CHA,DCA
CHA,ORD
CHO,LGA
CHO,PHL
CHS,DCA
CHS,DFW
CHS,PHL
CID,DFW
CID,ORD
CLE,JFK
CLE,PHL
CLT,ABE
CLT,AUS
CLT,AVL
CLT,CAE
CLT,CMH
CLT,DSM
CLT,EWN
CLT,FLO
CLT,FPO
CLT,HHH
CLT,HTS
CLT,IAD
CLT,MGM
CLT,MHT
CLT,OMA
CLT,PNS
CLT,SBY
CLT,SRQ
CLT,YOW
CLT,YUL
CLT,YYZ
CMH,CLT
CMH,MIA
CMH,PHL
CMI,DFW
CNS,AKL
COU,ORD
CUU,DFW
CVG,PHL
DBQ,ORD
DCA,AGS
DCA,BGR
DCA,BUF
DCA,CAE
DCA,CHA
DCA,CHS
DCA,CMH
DCA,CRW
DCA,DSM
DCA,DTW
DCA,FAY
DCA,GSO
DCA,HHH
DCA,HSV
DCA,ILM
DCA,ISP
DCA,JAX
DCA,LIT
DCA,MCI
DCA,MHT
DCA,MSP
DCA,MSY
DCA,MYR
DCA,OMA
DCA,PBI
DCA,PIT
DCA,PVD
DCA,PWM
DCA,ROC
DCA,RSW
DCA,SRQ
DCA,STL
DCA,SYR
DCA,TLH
DCA,YHZ
DCA,YUL
DCA,YYZ
DFW,ATL
DFW,BMI
DFW,BRO
DFW,CHS
DFW,CID
DFW,CMI
DFW,CRW
DFW,CUU
DFW,EVV
DFW,FAR
DFW,FSD
DFW,FWA
DFW,GRR
DFW,LAX
DFW,LRD
DFW,MLI
DFW,MSY
DFW,MZT
DFW,PIA
DFW,QRO
DFW,RAP
DFW,SGF
DFW,SHV
DFW,TLH
DFW,ZCL
DRO,PHX
DSM,CLT
DSM,DCA
DTW,DCA
ELM,PHL
ELP,LAX
ELP,ORD
ELP,PHX
ERI,PHL
EUG,LAX
EVV,DFW
EVV,ORD
EWN,CLT
EWR,LIS
EWR,OPO
EWR,PHL
FAO,LIS
FAR,DFW
FAR,ORD
FAT,LAX
FAT,PHX
FAY,DCA
FCO,ATH
FCO,LIS
FLG,PHX
FLO,CLT
FNC,LIS
FNT,ORD
FPO,CLT
FRA,IST
FRA,LIS
FRA,SKG
FSD,DFW
FWA,DFW
FWA,ORD
GCK,DFW
GDL,PHX
GJT,DFW
GJT,PHX
GRB,ORD
GRR,DFW
GRR,ORD
GSO,DCA
GSO,PHL
GSP,PHL
GVA,LIS
HHH,CLT
HHH,DCA
HMO,PHX
HNL,AKL
HNL,ITO
HNL,KOA
HNL,LIH
HNL,OGG
HPN,ORD
HPN,PHL
HSV,ORD
HTS,CLT
HVN,PHL
IAD,IST
ICT,ORD
ILM,DCA
ILM,LGA
ILM,PHL
IND,ORD
IPT,PHL
ISP,DCA
ISP,PHL
IST,FRA
IST,IAD
IST,JFK
IST,LAX
IST,MUC
IST,ORD
IST,ZRH
ITH,PHL
JAX,DCA
JFK,BNA
JFK,BWI
JFK,CLE
JFK,CVG
JFK,IST
JFK,MCO
JFK,PEK
JFK,TPA
JTR,ATH
KOA,HNL
LAX,ABQ
LAX,AKL
LAX,DFW
LAX,ELP
LAX,EUG
LAX,FAT
LAX,IST
LAX,MRY
LAX,OKC
LAX,PBI
LAX,PEK
LAX,RAR
LAX,RDM
LAX,RNO
LAX,SAF
LAX,SAN
